age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
61,retired,married,primary,no,154,no,no,cellular,22,feb,251.0,4,183,4,success,1
30,services,single,tertiary,no,3539,no,no,cellular,12,mar,186.0,1,-1,0,unknown,1
26,student,single,secondary,no,582,yes,no,cellular,29,apr,268.0,5,329,2,failure,1
55,management,married,tertiary,no,346,no,no,cellular,26,may,196.0,2,109,8,success,1
31,services,married,secondary,no,235,no,no,cellular,2,jun,412.0,1,-1,0,unknown,1
47,retired,single,tertiary,no,192,no,no,unknown,16,jun,389.0,1,-1,0,unknown,0
38,housemaid,single,primary,no,1057,no,no,cellular,2,jun,312.0,1,-1,0,unknown,1
33,management,single,tertiary,no,3455,no,no,cellular,24,sep,232.0,1,181,2,failure,0
33,management,single,tertiary,no,232,no,no,cellular,22,jun,334.0,2,-1,0,unknown,1
56,retired,married,primary,no,265,no,no,cellular,5,jun,207.0,3,-1,0,unknown,1
24,student,single,tertiary,no,58,no,no,cellular,19,may,254.0,2,-1,0,unknown,0
33,admin.,married,tertiary,no,811,no,no,cellular,17,mar,278.0,4,-1,0,unknown,1
32,management,single,tertiary,no,161,no,no,cellular,31,jul,55.0,2,-1,0,unknown,0
59,admin.,married,secondary,no,1146,no,no,cellular,15,sep,238.0,2,279,3,success,1
31,management,married,tertiary,no,1,yes,no,cellular,8,may,633.0,3,353,2,other,1
33,unemployed,single,primary,no,413,yes,no,cellular,8,sep,131.0,1,-1,0,unknown,1
24,admin.,single,secondary,no,315,no,no,cellular,13,aug,315.0,3,-1,0,unknown,1
29,management,single,tertiary,no,1130,no,no,cellular,6,may,325.0,1,-1,0,unknown,1
37,management,married,tertiary,no,3816,no,no,cellular,3,apr,99.0,1,-1,0,unknown,1
28,management,single,tertiary,no,0,yes,no,cellular,27,may,333.0,1,-1,0,unknown,1
20,student,single,secondary,no,1879,no,no,cellular,17,dec,299.0,2,-1,0,unknown,1
36,unknown,married,unknown,no,2437,yes,no,cellular,5,feb,582.0,2,184,4,failure,1
41,management,married,tertiary,no,3465,no,no,cellular,2,jun,366.0,3,-1,0,unknown,1
23,services,single,secondary,no,415,yes,yes,cellular,14,may,494.0,2,-1,0,unknown,1
54,blue-collar,married,secondary,no,2620,no,no,cellular,4,may,98.0,3,79,1,failure,0
24,student,single,secondary,no,291,no,no,cellular,6,aug,88.0,2,-1,0,unknown,0
51,technician,married,unknown,no,37,no,no,cellular,29,jan,368.0,2,-1,0,unknown,0
28,blue-collar,married,primary,no,390,yes,no,cellular,4,feb,149.0,2,-1,0,unknown,0
33,admin.,single,secondary,no,131,yes,yes,cellular,22,jul,167.0,1,-1,0,unknown,0
35,blue-collar,married,secondary,no,191,yes,no,cellular,13,may,32.0,1,371,2,other,0
34,management,single,tertiary,no,193,no,yes,cellular,11,aug,64.0,5,-1,0,unknown,0
25,student,single,secondary,no,2754,no,no,cellular,4,feb,146.0,2,-1,0,unknown,0
37,admin.,married,tertiary,no,242,no,yes,cellular,3,jun,355.0,1,-1,0,unknown,1
61,retired,married,primary,no,1772,no,no,telephone,4,mar,575.0,4,92,1,success,1
61,retired,married,secondary,no,253,no,no,cellular,11,oct,185.0,1,-1,0,unknown,1
38,housemaid,married,primary,no,2374,yes,no,cellular,20,apr,114.0,4,460,9,failure,0
56,management,married,tertiary,no,0,yes,no,unknown,2,jun,235.0,1,-1,0,unknown,0
41,management,married,tertiary,no,1240,no,no,cellular,15,jan,122.0,4,-1,0,unknown,1
36,management,married,tertiary,no,85,no,yes,cellular,18,aug,121.0,4,-1,0,unknown,0
49,technician,married,secondary,no,283,yes,no,cellular,15,apr,67.0,2,144,2,failure,0
34,services,single,secondary,no,4870,yes,no,unknown,29,may,197.0,2,-1,0,unknown,0
