enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
22358,city_57,0.866,,No relevent experience,Part time course,,,3,,,2,96,0.0
25705,city_77,0.83,Male,No relevent experience,no_enrollment,,,3,,,never,100,0.0
6333,city_100,0.887,,No relevent experience,no_enrollment,,,3,,,never,18,1.0
14741,city_16,0.91,Male,Has relevent experience,,,,>20,,,>4,144,0.0
8902,city_103,0.92,Male,No relevent experience,no_enrollment,,,7,,,1,44,1.0
14150,city_46,0.762,Male,No relevent experience,Full time course,,,8,,,,13,0.0
29153,city_26,0.698,,No relevent experience,no_enrollment,High School,,2,,,,6,0.0
16896,city_103,0.92,,No relevent experience,,,,1,,,never,18,0.0
6283,city_16,0.91,Male,Has relevent experience,no_enrollment,,,11,50-99,,1,52,0.0
14553,city_21,0.624,,No relevent experience,,Graduate,STEM,<1,,,never,22,0.0
18964,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,2,11,0.0
30446,city_114,0.926,Male,No relevent experience,,Masters,STEM,6,100-500,Pvt Ltd,1,17,0.0
25183,city_16,0.91,,No relevent experience,Full time course,Graduate,STEM,>20,,,,66,0.0
20895,city_16,0.91,,No relevent experience,no_enrollment,High School,,>20,,,never,59,1.0
2930,city_75,0.939,Male,No relevent experience,no_enrollment,Masters,Humanities,,,,1,214,0.0
11863,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,Arts,6,,,1,13,1.0
8383,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,74,0.0
18134,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,11,,,1,88,1.0
24561,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,50,0.0
5926,city_103,0.92,,No relevent experience,Full time course,High School,,1,,,1,21,1.0
16719,city_160,0.92,,No relevent experience,no_enrollment,Primary School,,<1,,,never,7,0.0
22970,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,,1,18,1.0
16273,city_103,0.92,,No relevent experience,Full time course,High School,,6,,,1,298,1.0
10135,city_11,0.55,Male,Has relevent experience,Full time course,Graduate,STEM,15,,,4,25,0.0
9699,city_30,0.698,Male,Has relevent experience,Part time course,Phd,STEM,>20,,,>4,31,0.0
