customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0536-KXZTK,Male,0,No,No,4,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.9,789.2,0
5919-TMRLZ,Male,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,25.0,300.8,1
1417-YNNLD,Female,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,44.8,1451.75,1
1093-BIBFQ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.05,810.2,1
9808-MSWYV,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,43.95,6132.7,1
8627-HPMUF,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.05,2249.6,1
2324-YLDGW,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,23.45,3541.85,0
5701-FEYMO,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,79.9,221.15,1
9788-PTBSB,Male,0,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),48.7,2162.6,1
2346-JHANM,Female,0,No,No,12,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.15,93.85,1
2572-UWHHM,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.55,3930.55,1
9391-WBJAH,Male,0,No,No,6,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),49.75,749.25,0
7729-GYCZK,Female,0,No,No,23,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,50.2,444.35,0
4575-SDCDL,Male,1,No,No,27,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,55.4,358.05,0
2675-EMOYU,Male,0,Yes,Yes,26,Yes,Yes,DSL,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,64.9,452.4,0
9537-ITUCH,Female,0,No,No,4,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),29.15,3944.15,0
8519-NQLJY,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.95,5336.4,1
5079-LXOON,Female,0,No,No,4,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,60.35,1840.5,0
5275-HOVRJ,Male,0,Yes,Yes,36,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,76.25,4110.15,0
