age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
72,retired,married,primary,no,2887.0,no,no,cellular,19,dec,274,2,183,5,success,1
34,student,single,tertiary,no,129.0,no,no,cellular,2,jun,244,1,-1,0,unknown,1
61,retired,married,tertiary,no,11568.0,no,no,cellular,2,jun,396,2,-1,0,unknown,1
25,student,single,secondary,no,404.0,no,no,cellular,1,jun,411,1,-1,0,unknown,1
37,management,married,tertiary,no,0.0,yes,no,cellular,5,may,502,1,-1,0,unknown,0
78,retired,married,primary,no,482.0,no,no,telephone,12,mar,153,1,182,7,success,1
62,management,married,primary,no,2240.0,no,no,cellular,31,sep,173,2,194,3,failure,1
47,management,married,tertiary,no,726.0,no,no,cellular,28,jul,219,2,-1,0,unknown,1
28,management,single,tertiary,no,390.0,no,no,cellular,13,oct,323,1,190,5,failure,1
57,management,married,tertiary,no,415.0,no,no,cellular,21,nov,105,3,-1,0,unknown,0
71,retired,married,primary,no,996.0,no,no,cellular,25,feb,69,2,176,7,failure,1
36,management,married,tertiary,no,147.0,no,no,cellular,28,jul,268,3,116,8,other,1
40,services,married,tertiary,no,618.0,no,no,cellular,19,feb,232,2,-1,0,unknown,1
31,admin.,single,tertiary,no,3486.0,no,no,cellular,16,apr,226,2,-1,0,unknown,1
36,management,married,tertiary,no,131.0,no,no,unknown,5,may,260,2,-1,0,unknown,1
59,management,married,tertiary,no,2575.0,no,no,cellular,19,nov,905,2,-1,0,unknown,1
32,management,single,tertiary,no,710.0,yes,no,cellular,15,may,63,3,-1,0,unknown,0
40,services,married,secondary,no,157.0,yes,no,cellular,31,jul,62,11,-1,0,unknown,0
36,management,married,tertiary,no,6576.0,no,no,cellular,31,jul,29,30,-1,0,unknown,0
75,retired,divorced,secondary,no,485.0,no,no,cellular,30,jun,243,5,62,3,failure,1
52,admin.,single,tertiary,no,1372.0,no,no,unknown,20,jun,8,4,-1,0,unknown,0
60,retired,married,secondary,no,5310.0,no,no,cellular,29,oct,293,5,244,3,success,1
33,blue-collar,married,primary,no,469.0,yes,no,cellular,14,may,166,2,-1,0,unknown,0
53,management,married,tertiary,no,201.0,no,no,telephone,14,sep,506,2,-1,0,unknown,1
54,services,married,secondary,no,46.0,no,no,cellular,8,jul,99,1,-1,0,unknown,0
36,student,single,tertiary,no,8535.0,no,no,cellular,8,apr,176,2,-1,0,unknown,1
74,retired,married,tertiary,no,2457.0,no,no,cellular,30,apr,400,1,-1,0,unknown,1
40,management,married,tertiary,no,79.0,yes,no,cellular,8,sep,143,3,267,3,failure,1
43,management,single,tertiary,no,5479.0,no,no,cellular,2,sep,159,2,-1,0,unknown,0
30,technician,married,tertiary,no,0.0,yes,no,cellular,29,jan,235,1,62,7,other,0
28,services,single,secondary,no,0.0,yes,no,cellular,16,apr,1257,2,-1,0,unknown,1
50,blue-collar,married,primary,no,165.0,yes,no,unknown,27,may,131,1,-1,0,unknown,0
67,retired,divorced,tertiary,no,2887.0,no,no,cellular,4,jun,193,1,-1,0,unknown,0
34,housemaid,married,secondary,no,384.0,no,no,cellular,20,aug,171,3,-1,0,unknown,0
41,management,married,tertiary,no,101.0,no,no,cellular,28,jan,305,2,-1,0,unknown,1
31,management,single,tertiary,no,684.0,no,no,cellular,28,aug,79,1,-1,0,unknown,0
46,management,married,primary,no,2313.0,no,yes,cellular,11,jul,704,1,-1,0,unknown,1
53,blue-collar,married,primary,no,7763.0,no,no,cellular,21,nov,105,1,-1,0,unknown,0
33,admin.,married,secondary,no,154.0,yes,no,cellular,8,may,1141,1,-1,0,unknown,1
38,management,married,tertiary,no,122.0,yes,no,unknown,6,jun,173,6,-1,0,unknown,0
26,admin.,single,secondary,no,597.0,no,no,cellular,9,sep,1473,2,-1,0,unknown,0
40,management,married,tertiary,no,-166.0,yes,no,cellular,20,nov,76,1,-1,0,unknown,0
56,technician,married,secondary,no,0.0,no,no,telephone,4,may,602,4,175,2,failure,1
58,blue-collar,married,primary,no,3773.0,yes,no,cellular,29,apr,241,2,-1,0,unknown,1
57,technician,married,secondary,no,84.0,yes,no,cellular,30,apr,618,1,371,1,failure,1
44,management,married,secondary,no,80.0,no,yes,cellular,8,jul,204,4,-1,0,unknown,0
56,housemaid,married,primary,no,3391.0,no,no,cellular,7,aug,845,8,-1,0,unknown,1
38,technician,single,tertiary,no,673.0,yes,no,cellular,16,jul,394,7,-1,0,unknown,1
59,technician,married,secondary,no,2266.0,no,no,cellular,7,jul,338,1,546,1,failure,1
48,management,married,tertiary,no,1000.0,no,no,cellular,4,feb,280,2,-1,0,unknown,1
41,management,single,tertiary,no,9316.0,no,no,cellular,9,sep,1573,3,-1,0,unknown,1
44,admin.,married,secondary,no,142.0,yes,no,unknown,18,jun,1025,1,-1,0,unknown,1
46,blue-collar,married,primary,no,21.0,yes,no,cellular,9,jul,831,3,-1,0,unknown,1
30,blue-collar,single,secondary,no,507.0,yes,no,cellular,20,nov,301,3,173,2,failure,0
28,services,single,secondary,no,239.0,yes,no,unknown,16,jun,686,26,-1,0,unknown,1
53,blue-collar,married,primary,no,875.0,yes,yes,cellular,7,may,382,4,-1,0,unknown,1
48,blue-collar,married,secondary,no,567.0,no,no,cellular,7,aug,460,1,-1,0,unknown,1
33,management,single,secondary,no,84.0,yes,no,cellular,5,may,575,3,-1,0,unknown,1
55,management,married,tertiary,no,313.0,yes,no,cellular,29,jul,994,2,-1,0,unknown,1
48,blue-collar,married,primary,no,1401.0,no,no,unknown,6,may,531,2,-1,0,unknown,0
31,blue-collar,married,secondary,no,313.0,yes,no,cellular,21,nov,796,3,189,1,failure,1
35,admin.,single,secondary,no,122.0,yes,yes,cellular,23,jul,661,1,-1,0,unknown,1
28,student,single,tertiary,no,455.0,no,no,telephone,25,oct,220,3,-1,0,unknown,0
57,technician,married,secondary,no,953.0,no,no,cellular,30,apr,515,1,-1,0,unknown,1
36,services,married,secondary,no,2102.0,yes,no,unknown,26,may,63,4,-1,0,unknown,0
29,management,single,tertiary,no,863.0,yes,no,unknown,29,may,314,1,-1,0,unknown,0
44,admin.,divorced,secondary,no,0.0,no,no,cellular,21,nov,1957,1,336,2,failure,1
34,services,married,secondary,no,451.0,yes,no,cellular,22,jul,1051,2,-1,0,unknown,1
31,technician,single,tertiary,no,920.0,no,no,cellular,14,jun,187,1,91,10,success,1
30,management,single,tertiary,no,5794.0,yes,no,cellular,12,aug,277,2,-1,0,unknown,0
27,unemployed,single,tertiary,no,25.0,yes,no,cellular,4,aug,522,1,84,10,success,1
34,entrepreneur,single,secondary,no,0.0,no,yes,cellular,4,feb,119,1,-1,0,unknown,0
35,technician,single,secondary,yes,6.0,no,no,unknown,9,may,61,3,-1,0,unknown,0
36,admin.,single,secondary,no,2843.0,no,no,cellular,2,feb,570,1,-1,0,unknown,0
31,services,married,secondary,no,4515.0,yes,yes,cellular,13,may,164,1,-1,0,unknown,0
52,blue-collar,married,primary,no,-247.0,yes,yes,cellular,1,apr,881,2,335,2,failure,1
35,services,married,secondary,no,0.0,yes,yes,unknown,6,may,89,7,-1,0,unknown,0
38,management,single,tertiary,no,1173.0,yes,yes,cellular,21,nov,17,7,-1,0,unknown,0
59,retired,divorced,secondary,no,905.0,no,no,cellular,14,aug,155,2,-1,0,unknown,0
52,blue-collar,married,primary,no,1173.0,yes,no,telephone,5,may,353,7,358,4,failure,0
36,management,married,tertiary,no,486.0,no,yes,unknown,15,may,300,3,-1,0,unknown,0
37,management,married,tertiary,no,3047.0,no,no,cellular,14,oct,491,1,-1,0,unknown,1
55,technician,married,secondary,no,154.0,yes,no,cellular,22,may,338,1,-1,0,unknown,0
48,management,divorced,tertiary,no,464.0,no,no,cellular,30,jan,78,8,-1,0,unknown,0
27,services,single,secondary,no,-43.0,yes,yes,unknown,29,may,360,2,-1,0,unknown,0
38,blue-collar,married,secondary,no,2870.0,yes,no,cellular,9,apr,119,2,-1,0,unknown,0
40,entrepreneur,married,secondary,no,2137.0,no,no,cellular,13,aug,256,2,-1,0,unknown,0
49,entrepreneur,divorced,primary,no,804.0,yes,no,cellular,3,feb,944,4,112,1,failure,0
36,technician,single,secondary,no,4605.0,yes,no,cellular,11,aug,190,2,297,9,failure,1
42,housemaid,divorced,secondary,no,3190.0,yes,no,cellular,20,nov,459,2,93,1,failure,1
40,management,married,tertiary,no,589.0,yes,yes,unknown,13,may,668,2,-1,0,unknown,1
34,technician,married,secondary,no,2876.0,yes,no,cellular,27,feb,86,1,137,1,success,1
52,technician,married,tertiary,no,705.0,no,no,cellular,16,nov,140,2,58,2,failure,1
38,services,single,secondary,no,186.0,no,no,cellular,20,nov,206,4,-1,0,unknown,0
27,student,single,tertiary,no,5295.0,no,no,cellular,30,apr,327,1,-1,0,unknown,1
43,admin.,married,secondary,no,252.0,yes,no,cellular,18,may,710,2,-1,0,unknown,1
45,housemaid,married,primary,no,1724.0,no,no,cellular,2,feb,153,3,-1,0,unknown,0
45,blue-collar,divorced,primary,no,2931.0,yes,no,cellular,16,jul,229,1,-1,0,unknown,1
57,blue-collar,married,secondary,no,2423.0,yes,no,cellular,21,nov,983,1,-1,0,unknown,1
51,management,divorced,tertiary,no,324.0,yes,no,cellular,12,aug,531,2,-1,0,unknown,1
58,services,divorced,secondary,no,-392.0,yes,no,cellular,18,may,700,1,-1,0,unknown,1
33,technician,divorced,tertiary,no,693.0,no,yes,cellular,29,jan,152,2,186,4,other,0
31,technician,single,tertiary,no,1193.0,yes,no,unknown,16,may,47,3,-1,0,unknown,0
50,admin.,divorced,secondary,no,3169.0,no,no,cellular,14,jun,295,5,182,2,success,1
32,technician,single,secondary,no,103.0,yes,no,cellular,12,aug,160,11,-1,0,unknown,0
31,technician,single,tertiary,no,686.0,yes,no,unknown,21,may,163,8,-1,0,unknown,0
52,blue-collar,married,primary,no,42.0,no,no,unknown,6,jun,329,1,-1,0,unknown,1
54,retired,married,secondary,no,3999.0,no,no,cellular,13,aug,255,4,-1,0,unknown,0
34,management,married,tertiary,no,10535.0,no,no,cellular,23,feb,115,1,92,2,failure,1
33,management,married,tertiary,no,497.0,yes,no,cellular,3,feb,661,1,342,2,failure,1
31,services,married,primary,no,-122.0,yes,no,unknown,5,may,67,2,-1,0,unknown,0
52,housemaid,married,primary,no,524.0,yes,yes,cellular,21,nov,14,14,-1,0,unknown,0
62,management,married,tertiary,no,396.0,no,no,cellular,7,aug,48,2,-1,0,unknown,0
29,blue-collar,married,primary,no,0.0,no,no,unknown,17,jun,482,1,-1,0,unknown,0
33,management,married,tertiary,no,524.0,yes,no,cellular,31,jul,33,17,-1,0,unknown,0
34,services,married,secondary,no,386.0,no,no,cellular,31,aug,172,1,140,2,success,1
53,management,single,tertiary,no,2067.0,yes,yes,unknown,14,may,97,1,-1,0,unknown,0
39,technician,married,secondary,no,78.0,no,no,cellular,23,aug,636,10,280,1,failure,1
34,admin.,divorced,secondary,no,286.0,yes,no,cellular,12,nov,202,1,96,1,success,1
66,entrepreneur,married,secondary,no,157.0,yes,no,unknown,13,may,184,1,-1,0,unknown,0
34,technician,married,secondary,no,1019.0,yes,no,cellular,30,mar,861,1,-1,0,unknown,1
47,management,married,primary,no,-176.0,no,yes,cellular,15,may,1086,1,-1,0,unknown,1
27,blue-collar,married,primary,no,697.0,yes,no,unknown,5,may,384,3,-1,0,unknown,0
27,blue-collar,single,primary,no,17.0,yes,no,unknown,27,may,296,11,-1,0,unknown,0
25,blue-collar,single,primary,no,0.0,yes,no,cellular,4,aug,185,1,-1,0,unknown,0
46,admin.,married,secondary,no,2481.0,no,no,cellular,7,aug,51,1,65,4,success,1
37,blue-collar,single,secondary,no,488.0,yes,yes,unknown,29,may,278,2,-1,0,unknown,1
33,technician,divorced,secondary,no,175.0,no,no,cellular,3,jun,150,2,-1,0,unknown,0
33,self-employed,single,tertiary,no,168.0,no,no,cellular,30,apr,301,1,-1,0,unknown,1
29,blue-collar,single,secondary,no,244.0,yes,yes,cellular,3,feb,252,6,-1,0,unknown,0
51,services,divorced,secondary,no,201.0,yes,yes,unknown,6,jun,121,2,-1,0,unknown,0
34,blue-collar,married,secondary,no,0.0,yes,no,cellular,14,may,172,1,296,2,other,0
38,services,married,secondary,no,5776.0,no,no,unknown,20,jun,19,9,-1,0,unknown,0
35,blue-collar,married,secondary,no,1692.0,no,no,cellular,24,jun,1341,2,61,5,failure,1
40,entrepreneur,married,secondary,no,246.0,no,no,cellular,21,nov,255,4,-1,0,unknown,0
50,technician,married,secondary,no,26.0,no,no,telephone,29,jan,720,3,-1,0,unknown,1
