age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
80,retired,married,primary,no,775.0,no,no,cellular,4,jun,171,2,93,3,success,1
77,retired,married,primary,no,3324.0,no,no,cellular,4,dec,843,2,97,2,success,1
28,student,single,secondary,no,267.0,no,no,cellular,19,nov,882,2,92,2,failure,0
29,management,single,tertiary,no,312.0,no,no,cellular,6,may,342,1,-1,0,unknown,1
35,services,married,unknown,no,696.0,no,no,cellular,26,may,241,1,-1,0,unknown,0
35,housemaid,married,primary,no,87.0,no,no,cellular,21,jul,359,1,-1,0,unknown,0
23,student,single,unknown,no,21.0,no,no,cellular,4,feb,120,2,93,1,failure,0
54,retired,married,tertiary,no,380.0,no,no,cellular,4,may,195,1,85,11,other,1
41,retired,married,primary,no,1854.0,yes,no,cellular,4,jul,61,1,170,1,failure,0
45,admin.,married,tertiary,no,600.0,yes,no,cellular,22,mar,426,1,-1,0,unknown,1
72,retired,married,secondary,no,107.0,no,no,cellular,11,nov,227,1,-1,0,unknown,1
32,blue-collar,single,primary,no,0.0,no,no,cellular,31,jul,65,13,-1,0,unknown,0
68,retired,married,secondary,no,1038.0,no,no,cellular,4,may,139,1,335,1,failure,0
32,management,married,tertiary,no,37.0,no,no,cellular,20,jul,163,2,-1,0,unknown,0
33,management,single,tertiary,no,0.0,no,no,cellular,6,aug,103,2,-1,0,unknown,0
51,blue-collar,married,primary,no,344.0,no,no,unknown,20,jun,5,4,-1,0,unknown,0
57,retired,married,secondary,no,10553.0,no,no,cellular,8,aug,385,2,-1,0,unknown,1
33,management,single,tertiary,no,386.0,no,yes,cellular,7,jul,159,1,-1,0,unknown,0
33,admin.,married,secondary,no,187.0,no,yes,cellular,9,jul,240,1,-1,0,unknown,0
66,admin.,married,secondary,no,135.0,yes,no,cellular,9,jul,243,1,-1,0,unknown,0
28,management,single,tertiary,no,0.0,no,no,cellular,12,aug,102,2,-1,0,unknown,0
