enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
24577.0,city_103,0.92,,No relevent experience,no_enrollment,Masters,STEM,9,,,>4,59,0.0
3881.0,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,,5,,,2,24,0.0
14888.0,city_103,0.92,,No relevent experience,no_enrollment,,,3,,,,40,0.0
28830.0,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,4,,,,100,0.0
25582.0,city_160,0.92,Male,No relevent experience,no_enrollment,High School,,2,,,1,43,0.0
27881.0,city_136,0.897,,No relevent experience,no_enrollment,,,<1,,,never,73,0.0
15454.0,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,7,0.0
10185.0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,17,,,1,50,1.0
20713.0,city_65,0.802,Male,Has relevent experience,Full time course,High School,,4,,,2,3,0.0
22523.0,city_36,0.893,Male,No relevent experience,no_enrollment,High School,,<1,,,never,64,0.0
1853.0,city_114,0.926,Male,No relevent experience,no_enrollment,Phd,STEM,>20,,,>4,102,0.0
22794.0,city_11,0.55,Male,No relevent experience,Full time course,Masters,STEM,2,,,2,165,1.0
16303.0,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,48,0.0
16738.0,city_90,0.698,,Has relevent experience,no_enrollment,High School,,7,<10,,,108,1.0
13421.0,city_67,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,19,,,never,18,0.0
10877.0,city_75,0.939,,Has relevent experience,no_enrollment,Graduate,STEM,9,,,1,78,0.0
4470.0,city_115,0.789,Male,No relevent experience,Full time course,Masters,STEM,7,,,1,85,1.0
14833.0,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,7,,,1,52,1.0
25816.0,city_73,0.754,Male,No relevent experience,no_enrollment,Masters,Humanities,>20,,,,34,0.0
8588.0,city_33,0.4479999999999999,,Has relevent experience,no_enrollment,Graduate,STEM,5,,,1,15,1.0
