enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
4144,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,6,<10,,1,165,0.0
8092,city_50,0.8959999999999999,,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,16,0.0
3673,city_160,0.92,Male,Has relevent experience,no_enrollment,High School,,14,,,1,43,1.0
2805,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,50-99,,1,49,0.0
10612,city_173,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,,2,22,0.0
5802,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,16,,,1,46,0.0
5104,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,17,1.0
14133,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,27,1.0
28276,city_16,0.91,Male,Has relevent experience,Full time course,Graduate,STEM,6,,,2,76,0.0
21238,city_21,0.624,,No relevent experience,,,,2,,,,55,0.0
17373,city_173,0.878,,No relevent experience,,,,3,,,never,10,0.0
10597,city_142,0.727,,Has relevent experience,Full time course,,,8,,,1,29,1.0
23134,city_16,0.91,Male,No relevent experience,no_enrollment,Primary School,,3,,,never,60,0.0
30472,city_19,0.682,Male,Has relevent experience,no_enrollment,,,11,10000+,Pvt Ltd,never,60,0.0
21754,city_100,0.887,Male,No relevent experience,no_enrollment,High School,,5,,,never,15,0.0
18474,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,,1,64,0.0
17820,city_101,0.5579999999999999,Male,No relevent experience,Full time course,Masters,STEM,3,,,2,88,1.0
16754,city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,No Major,9,,,1,152,0.0
10274,city_152,0.698,Male,Has relevent experience,no_enrollment,Masters,STEM,19,,,>4,29,1.0
31135,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,,,2,6,1.0
9519,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,18,,,1,101,0.0
18226,city_116,0.743,,Has relevent experience,no_enrollment,Graduate,STEM,13,,,2,250,0.0
5887,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,10,,,1,46,0.0
25708,city_136,0.897,Male,No relevent experience,Full time course,Graduate,STEM,3,,,1,114,0.0
23330,city_70,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,,1,12,1.0
23733,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,90,1.0
19161,city_100,0.887,,Has relevent experience,Part time course,High School,,7,<10,,never,64,0.0
30228,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,,1,47,1.0
24354,city_46,0.762,,Has relevent experience,Full time course,Graduate,STEM,5,,,1,30,0.0
20913,city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,1,64,1.0
20752,city_157,0.769,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,1,62,0.0
31912,city_90,0.698,Male,No relevent experience,Full time course,High School,,1,,,never,143,0.0
23169,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,,,never,317,0.0
20189,city_21,0.624,,No relevent experience,no_enrollment,Graduate,STEM,1,,,2,42,1.0
32403,city_152,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,,,1,134,0.0
9902,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,1,90,1.0
