Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,0,Non-Travel,1023,Sales,2,2,Medical,1,1476.0,4,Male,47,3,2,Sales Executive,2,Married,5673,4973,1,Y,No,18,3,3,80,0,10,2,2,10,9,1,7
48,0,Non-Travel,1329,Sales,1,4,Life Sciences,1,631.0,3,Male,60,4,4,Manager,3,Single,16885,9369,6,Y,No,12,3,4,80,0,27,3,3,5,4,2,1
29,0,Non-Travel,525,Sales,26,3,Medical,1,631.0,1,Male,60,4,2,Sales Executive,3,Married,6834,24232,1,Y,No,11,3,4,80,0,7,3,4,7,7,0,7
31,0,Travel_Rarely,336,Sales,9,2,Marketing,1,27.0,1,Male,82,2,2,Sales Executive,1,Married,4559,16905,7,Y,No,12,3,2,80,1,4,3,3,2,1,2,2
19,0,Non-Travel,725,Sales,27,1,Life Sciences,1,850.0,2,Male,50,3,1,Sales Representative,4,Married,2325,13492,0,Y,No,12,3,3,80,0,1,0,3,0,0,0,0
53,0,Travel_Rarely,336,Sales,2,3,Marketing,1,206.0,1,Female,60,3,3,Sales Executive,2,Married,7525,2560,2,Y,No,13,3,3,80,1,30,1,3,15,7,6,12
41,0,Non-Travel,959,Sales,9,3,Life Sciences,1,1087.0,1,Male,74,3,2,Sales Executive,1,Single,6172,14630,4,Y,No,16,3,2,80,0,12,3,3,7,7,0,7
41,0,Non-Travel,404,Sales,24,3,Technical Degree,1,850.0,3,Male,50,3,3,Sales Executive,4,Married,8189,12947,0,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
29,0,Travel_Rarely,1377,Research & Development,11,1,Life Sciences,1,27.0,2,Male,82,2,3,Research Director,1,Married,11416,17089,1,Y,No,12,3,2,80,1,9,2,4,8,7,0,7
35,0,Travel_Rarely,950,Research & Development,14,2,Other,1,206.0,4,Male,60,3,3,Manufacturing Director,2,Married,10685,4821,0,Y,No,13,3,3,80,2,17,4,3,17,14,5,15
30,0,Non-Travel,1349,Research & Development,10,1,Life Sciences,1,369.0,3,Male,85,4,3,Research Director,1,Single,11159,15332,3,Y,No,14,3,4,80,0,10,3,2,7,7,7,7
46,1,Non-Travel,408,Research & Development,26,3,Life Sciences,1,1315.0,3,Female,55,1,4,Research Director,4,Married,17861,23281,3,Y,No,12,3,1,80,1,25,2,4,3,2,2,1
45,0,Travel_Rarely,1473,Research & Development,8,2,Life Sciences,1,984.0,3,Female,92,3,1,Research Scientist,4,Married,2001,7360,3,Y,Yes,13,3,2,80,2,20,2,3,3,0,0,0
30,0,Travel_Rarely,164,Sales,7,3,Medical,1,412.0,2,Female,68,4,3,Sales Executive,1,Married,9241,13401,1,Y,No,15,3,3,80,1,10,2,3,10,8,6,7
37,0,Travel_Rarely,558,Sales,5,4,Marketing,1,1032.0,4,Female,69,2,2,Sales Executive,4,Single,6334,26009,7,Y,Yes,18,3,1,80,0,9,2,2,1,0,0,0
34,0,Travel_Rarely,1179,Sales,18,3,Medical,1,1411.0,4,Male,94,3,3,Sales Executive,3,Married,9888,20002,1,Y,Yes,11,3,1,80,1,14,2,3,14,8,2,1
49,0,Travel_Rarely,570,Sales,5,3,Marketing,1,901.0,4,Male,72,3,4,Sales Executive,4,Single,13120,17674,2,Y,No,14,3,3,80,0,22,2,3,9,8,2,3
38,0,Travel_Rarely,1009,Sales,7,4,Life Sciences,1,1121.0,2,Male,93,3,2,Sales Representative,2,Married,4405,18079,9,Y,No,11,3,2,80,1,20,3,3,4,2,0,3
38,0,Travel_Rarely,688,Research & Development,19,4,Life Sciences,1,909.0,4,Male,50,2,3,Research Director,4,Married,13582,10227,1,Y,No,23,4,3,80,1,15,3,3,14,13,5,11
43,0,Travel_Rarely,213,Research & Development,2,3,Medical,1,1847.0,3,Female,73,3,1,Laboratory Technician,2,Married,2436,22929,9,Y,No,12,3,4,80,2,8,1,4,4,3,1,2
28,1,Travel_Rarely,1092,Research & Development,2,3,Medical,1,1601.0,1,Male,63,2,2,Healthcare Representative,4,Married,5661,14222,0,Y,Yes,16,3,4,80,0,9,1,4,8,3,0,7
54,0,Travel_Rarely,1442,Research & Development,4,2,Medical,1,1436.0,4,Male,98,2,2,Manufacturing Director,1,Single,4440,25812,2,Y,No,18,3,1,80,0,9,6,4,5,4,1,4
56,0,Travel_Rarely,1091,Research & Development,3,3,Technical Degree,1,874.0,4,Male,62,4,1,Laboratory Technician,4,Single,2587,12828,3,Y,No,18,3,3,80,0,5,3,3,4,2,1,0
41,1,Travel_Rarely,1323,Research & Development,7,4,Medical,1,1602.0,1,Male,56,4,4,Research Director,1,Married,17399,7713,3,Y,Yes,13,3,2,80,1,32,0,4,5,4,0,4
35,0,Travel_Rarely,390,Research & Development,19,3,Medical,1,1152.0,4,Male,37,4,1,Laboratory Technician,3,Married,4014,8758,4,Y,No,11,3,4,80,1,4,3,4,2,2,2,2
32,0,Non-Travel,1476,Research & Development,2,3,Technical Degree,1,1858.0,3,Male,43,3,2,Research Scientist,4,Single,4087,13970,4,Y,No,11,3,2,80,0,9,2,3,6,2,1,3
35,1,Travel_Rarely,725,Research & Development,3,4,Medical,1,1702.0,4,Female,99,3,2,Laboratory Technician,3,Married,5363,23070,0,Y,Yes,13,3,4,80,2,10,2,3,9,7,0,0
56,0,Travel_Rarely,1308,Research & Development,1,2,Life Sciences,1,609.0,3,Female,35,3,5,Research Director,1,Married,19161,21782,4,Y,No,11,3,4,80,1,28,5,4,5,2,4,2
47,0,Travel_Rarely,1318,Sales,2,4,Marketing,1,1419.0,1,Female,51,2,1,Sales Representative,1,Married,3291,20978,6,Y,No,20,4,1,80,1,3,2,2,0,0,0,0
31,0,Travel_Rarely,322,Sales,2,4,Medical,1,639.0,1,Female,89,4,2,Sales Executive,4,Married,5468,26085,1,Y,Yes,12,3,2,80,1,13,4,3,12,7,5,7
