Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
47,0,Travel_Rarely,1276,Sales,2,4,Life Sciences,1,165,2,Male,66,3,5,Manager,1,Single,19658,2278,2,Y,No,12,3,4,80,0,27,2,3,5,2,1,0
36,0,Non-Travel,1326,Sales,2,3,Other,1,1216,4,Male,52,2,2,Sales Executive,1,Married,5673,19764,1,Y,No,14,3,3,80,1,10,3,3,10,9,1,7
44,0,Non-Travel,238,Sales,1,2,Medical,1,426,4,Male,66,3,2,Sales Executive,2,Single,4768,5868,9,Y,No,13,3,2,80,0,11,2,4,1,0,0,0
26,0,Non-Travel,845,Sales,7,4,Medical,1,479,4,Male,75,3,2,Sales Executive,2,Single,5296,3339,1,Y,No,11,3,2,80,0,8,2,3,8,7,7,7
46,0,Non-Travel,1398,Sales,3,4,Medical,1,381,3,Male,96,3,4,Manager,1,Married,17099,16571,2,Y,No,13,3,1,80,0,26,5,3,4,2,0,3
35,0,Travel_Rarely,682,Sales,4,4,Medical,1,170,4,Male,52,3,3,Sales Executive,4,Married,8020,2253,0,Y,No,12,3,3,80,3,12,1,2,11,9,6,9
36,0,Travel_Rarely,1094,Sales,7,3,Other,1,4,3,Male,91,2,2,Sales Executive,1,Married,6134,15748,3,Y,No,11,3,2,80,1,16,2,3,2,2,2,2
27,1,Non-Travel,880,Sales,4,3,Other,1,437,4,Male,74,3,2,Sales Executive,1,Married,4647,9558,1,Y,Yes,17,3,1,80,1,6,2,4,6,5,0,4
30,0,Travel_Rarely,1082,Sales,2,2,Life Sciences,1,72,3,Male,80,3,2,Sales Executive,1,Married,4736,5949,3,Y,No,11,3,4,80,1,4,0,3,3,2,2,2
34,0,Travel_Rarely,384,Sales,4,4,Life Sciences,1,42,1,Male,60,3,2,Sales Executive,2,Married,4668,26537,1,Y,No,14,3,3,80,1,9,6,2,8,7,1,1
31,1,Non-Travel,950,Sales,27,5,Marketing,1,437,4,Male,36,3,2,Sales Executive,3,Single,4233,16579,4,Y,Yes,23,4,1,80,0,9,0,3,3,1,1,2
54,0,Travel_Rarely,326,Sales,2,3,Life Sciences,1,129,1,Male,95,2,3,Sales Executive,2,Married,10686,22577,2,Y,No,11,3,4,80,0,13,5,3,9,4,7,0
32,1,Travel_Rarely,224,Sales,24,3,Life Sciences,1,23,3,Male,96,3,2,Sales Executive,2,Married,6524,5340,1,Y,Yes,15,3,1,80,1,10,2,3,10,8,5,4
36,0,Travel_Rarely,1219,Sales,24,3,Medical,1,66,3,Male,36,3,3,Sales Executive,4,Married,7596,5843,1,Y,No,24,4,4,80,2,10,3,3,10,9,9,0
40,0,Non-Travel,1372,Sales,16,4,Marketing,1,1653,1,Male,72,3,2,Sales Executive,2,Married,5127,2122,2,Y,No,19,3,2,80,2,7,3,2,5,4,0,2
57,0,Travel_Rarely,536,Sales,10,4,Marketing,1,15,4,Male,49,3,2,Sales Executive,2,Married,5486,5569,2,Y,Yes,18,3,4,80,1,15,3,3,3,2,1,2
32,0,Travel_Rarely,134,Sales,23,3,Other,1,101,3,Male,72,4,2,Sales Executive,4,Married,6582,14039,3,Y,No,13,3,4,80,1,10,3,3,6,3,0,5
35,0,Travel_Rarely,929,Sales,2,3,Marketing,1,201,4,Male,49,3,2,Sales Executive,2,Married,5813,25518,1,Y,No,13,3,4,80,2,10,2,2,10,8,7,7
31,1,Non-Travel,625,Sales,26,2,Life Sciences,1,1680,1,Male,45,3,2,Sales Executive,4,Married,5617,22937,1,Y,No,12,3,1,80,0,10,3,1,10,7,0,8
30,0,Non-Travel,1346,Sales,9,2,Life Sciences,1,602,3,Male,90,3,2,Sales Executive,1,Single,6578,2613,1,Y,No,15,3,1,80,0,10,2,3,10,3,1,4
30,0,Non-Travel,1211,Sales,2,4,Marketing,1,1156,1,Female,80,3,2,Sales Executive,2,Married,9204,14199,7,Y,Yes,12,3,4,80,1,7,1,3,5,2,0,3
60,0,Travel_Rarely,776,Sales,17,4,Marketing,1,1293,3,Female,66,3,2,Sales Executive,2,Married,5220,3372,0,Y,No,20,4,4,80,2,12,2,3,11,7,1,9
29,0,Travel_Rarely,1179,Human Resources,16,2,Other,1,600,4,Female,93,3,3,Human Resources,1,Married,7988,21195,1,Y,Yes,16,3,4,80,1,10,2,3,10,9,0,9
34,0,Travel_Rarely,688,Research & Development,10,3,Life Sciences,1,1618,4,Female,72,3,2,Laboratory Technician,4,Married,5207,18410,4,Y,No,11,3,4,80,1,15,2,3,11,7,5,8
