Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
29,0,Travel_Rarely,419.0,Sales,5,3,Medical,1,15,1,Male,49,2,1,Sales Representative,3,Married,2157,2373,1,Y,No,14,3,4,80,0,3,3,4,3,1,0,2
53,0,Travel_Rarely,1376.0,Sales,4,2,Medical,1,191,3,Male,78,2,4,Manager,1,Married,14852,2253,6,Y,No,14,3,3,80,3,22,3,4,17,13,15,2
36,0,Travel_Rarely,1146.0,Sales,8,3,Medical,1,4,2,Male,49,3,3,Sales Executive,2,Single,10325,25592,1,Y,No,12,3,2,80,0,16,3,2,16,7,3,7
56,0,Travel_Rarely,541.0,Sales,1,4,Marketing,1,140,2,Male,50,3,2,Sales Executive,4,Married,5380,16340,2,Y,No,11,3,3,80,0,6,5,3,0,0,0,0
38,0,Non-Travel,1410.0,Sales,13,2,Medical,1,641,4,Male,61,3,1,Sales Representative,3,Married,2858,3031,2,Y,Yes,13,3,1,80,0,20,3,3,1,0,0,0
30,0,Travel_Rarely,443.0,Research & Development,22,3,Medical,1,8,4,Female,92,2,1,Laboratory Technician,1,Single,2564,11539,0,Y,No,11,3,3,80,0,12,6,2,11,7,6,7
51,0,Non-Travel,1255.0,Research & Development,2,5,Life Sciences,1,1646,1,Female,98,3,3,Research Director,4,Married,12490,10557,5,Y,No,15,3,1,80,1,16,3,4,10,9,4,7
35,0,Non-Travel,1349.0,Research & Development,3,3,Life Sciences,1,1872,3,Female,37,3,1,Laboratory Technician,2,Single,4230,16495,0,Y,No,16,3,4,80,0,6,4,3,5,4,4,3
40,0,Travel_Rarely,1099.0,Research & Development,2,4,Life Sciences,1,1400,2,Female,63,3,3,Manufacturing Director,4,Married,7945,20978,8,Y,No,13,3,3,80,2,18,2,3,4,2,3,3
32,0,Travel_Rarely,1229.0,Research & Development,2,2,Life Sciences,1,882,4,Male,58,2,2,Laboratory Technician,3,Married,4883,9518,1,Y,Yes,11,3,2,80,2,10,2,3,10,2,6,1
25,0,Travel_Rarely,526.0,Sales,1,2,Marketing,1,204,2,Male,52,2,2,Sales Executive,4,Divorced,6180,2823,1,Y,No,11,3,1,80,3,6,2,3,6,5,1,4
45,0,Travel_Rarely,256.0,Sales,1,3,Life Sciences,1,102,3,Male,49,3,2,Sales Executive,1,Married,6142,2823,3,Y,No,22,4,3,80,1,9,5,3,6,0,0,3
36,0,Travel_Rarely,111.0,Research & Development,1,4,Life Sciences,1,73,4,Male,64,3,2,Manufacturing Director,3,Married,5410,17251,9,Y,No,17,3,3,80,3,18,3,3,16,14,5,12
31,0,Non-Travel,422.0,Research & Development,17,2,Life Sciences,1,1269,1,Male,64,3,3,Manufacturing Director,2,Single,7143,21026,1,Y,No,13,3,4,80,0,11,2,1,11,9,4,10
45,0,Travel_Rarely,1376.0,Sales,10,2,Medical,1,63,3,Male,100,3,4,Manager,1,Divorced,16792,19630,9,Y,No,12,3,4,80,1,22,3,4,20,8,11,8
58,0,Travel_Frequently,1398.0,Sales,1,3,Life Sciences,1,800,3,Female,59,2,4,Manager,1,Single,17875,19383,4,Y,No,15,3,3,80,0,29,2,3,1,0,0,0
55,1,Travel_Frequently,1449.0,Sales,1,5,Marketing,1,1791,1,Male,62,3,5,Manager,2,Divorced,19586,9148,1,Y,Yes,16,3,4,80,1,36,2,3,36,6,2,13
49,0,Travel_Rarely,541.0,Sales,8,4,Medical,1,845,1,Female,97,3,2,Sales Executive,2,Married,4507,24620,4,Y,No,13,3,4,80,1,8,2,3,5,2,0,4
55,0,Travel_Rarely,1034.0,Sales,2,3,Marketing,1,132,4,Male,100,3,5,Manager,1,Divorced,19859,8416,5,Y,Yes,11,3,3,80,2,24,3,3,5,2,1,4
40,0,Travel_Rarely,541.0,Sales,2,4,Medical,1,1293,1,Male,63,3,3,Sales Executive,4,Divorced,9705,2560,4,Y,No,14,3,4,80,1,11,2,3,1,0,0,0
46,0,Non-Travel,776.0,Sales,1,3,Marketing,1,1419,3,Male,46,1,3,Sales Executive,4,Married,10096,2689,2,Y,No,12,3,1,80,1,28,2,3,7,7,4,3
35,0,Non-Travel,882.0,Sales,4,4,Life Sciences,1,1107,4,Male,72,2,2,Sales Executive,3,Married,8966,2253,5,Y,No,20,4,4,80,0,15,2,3,7,7,1,7
55,0,Travel_Rarely,1283.0,Sales,1,3,Marketing,1,163,4,Male,94,3,3,Sales Executive,4,Single,10239,20933,8,Y,No,14,3,1,80,0,24,2,2,1,0,1,0
32,0,Travel_Rarely,696.0,Sales,6,4,Marketing,1,11,2,Male,94,3,3,Sales Executive,2,Married,10400,6020,1,Y,Yes,13,3,1,80,0,14,3,3,14,8,9,8
43,1,Non-Travel,234.0,Sales,20,3,Marketing,1,296,4,Male,37,2,4,Manager,2,Married,16064,5543,5,Y,No,14,3,4,80,1,22,3,2,17,13,1,9
44,0,Travel_Rarely,1380.0,Research & Development,1,2,Medical,1,58,3,Male,84,1,1,Research Scientist,4,Single,2342,25755,1,Y,No,11,3,4,80,0,6,3,3,5,3,2,3
46,0,Non-Travel,546.0,Research & Development,24,4,Life Sciences,1,643,2,Male,86,2,2,Research Scientist,1,Single,4615,10261,8,Y,No,20,4,1,80,0,19,3,3,16,13,1,7
31,0,Non-Travel,155.0,Research & Development,7,4,Life Sciences,1,1402,1,Male,37,2,1,Research Scientist,4,Married,2501,4944,1,Y,No,13,3,4,80,1,1,6,2,1,1,1,0
29,1,Travel_Rarely,750.0,Research & Development,10,2,Medical,1,1872,4,Female,52,3,1,Laboratory Technician,3,Married,2319,4223,1,Y,Yes,13,3,4,80,0,1,2,2,1,1,0,0
28,0,Travel_Rarely,650.0,Research & Development,15,2,Technical Degree,1,691,2,Female,57,1,1,Research Scientist,3,Married,3310,25304,1,Y,No,12,3,2,80,3,5,2,4,5,3,0,2
