customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
6518-RTRSD,Male,0,No,No,9,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.3,1195.35,0
2858-RKJSX,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,1869.2,1
5915-XHYID,Female,0,Yes,Yes,46,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.0,908.9,0
8630-PMGSV,Male,0,No,No,25,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,45.9,3703.5,0
6499-RCBGS,Male,0,No,No,5,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.4,7753.35,1
9142-WACFY,Female,0,Yes,Yes,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.1,207.6,0
1480-NLENM,Female,0,No,No,9,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,55.0,4368.35,0
0082-ERDBJ,Male,0,No,No,32,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,No,Mailed check,54.5,365.4,0
7875-WBJBS,Male,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.1,3165.95,1
6418-AHMLJ,Female,0,No,No,26,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,One year,No,Mailed check,74.1,557.75,0
0036-LXMLS,Male,0,No,No,2,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.7,4982.55,1
2773-ZRVTN,Male,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,45.3,0
