customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
9840-MVMQR,Female,0,No,No,51,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Mailed check,29.75,3870.0,0
2882-JANNO,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,49.85,357.7,0
8679-RKSXK,Male,0,No,No,5,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,55.75,45.1,0
4872-XMDYU,Female,0,Yes,Yes,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,20.1,812.2,0
4415-IJKTZ,Male,0,No,No,64,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Mailed check,59.6,2111.35,0
3124-CJELU,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.0,109.2,1
1524-CVVEG,Female,0,No,No,4,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,55.95,1095.95,0
2528-CWYFG,Male,0,No,Yes,29,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,57.65,5648.65,0
4335-TWOBK,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.65,2122.05,1
3762-QKIRD,Female,0,No,No,29,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,74.65,20.7,0
6897-KETUL,Female,0,No,No,27,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,71.15,19.0,0
6892-CXWEQ,Female,0,Yes,No,61,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,69.45,293.8,0
7470-DYNHJ,Male,0,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,94.5,41.0,1
3174-RPMQA,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Mailed check,101.45,59.2,0
7634-LDFRV,Female,0,No,No,12,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Mailed check,53.4,522.35,0
0320-NVWLQ,Female,1,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.35,1438.05,1
0895-CXWVH,Male,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,71.65,1210.35,1
4989-LIRAZ,Male,0,No,No,5,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.65,3002.9,1
9919-UMJYP,Female,0,Yes,No,13,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,71.6,1353.0,0
2291-MRSIZ,Female,0,Yes,No,2,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),50.0,5293.2,0
5369-XJGWD,Male,1,No,No,2,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,61.15,440.25,1
3891-WMWBS,Male,0,Yes,No,20,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),64.85,463.45,1
2324-FZWRH,Female,0,No,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,82.65,2878.55,1
0190-EGDKE,Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.75,5610.15,1
1624-IJZTP,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,162.35,0
0899-NJECD,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,45.8,1843.4,1
2160-QBVNN,Female,0,No,No,3,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,49.85,50.4,0
9325-MJMOS,Female,0,No,No,26,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,50.7,671.3,0
0236-NYZFI,Male,0,No,No,13,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.75,265.75,1
1635-IJHRZ,Female,0,No,No,5,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.6,1096.6,1
8413-UMPVL,Female,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,94.6,6371.6,1
1834-QQRVN,Female,1,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,75.15,3023.4,1
8724-QVHME,Female,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.45,673.25,0
7503-FEGLV,Male,0,Yes,No,16,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,No,Mailed check,63.8,19.4,0
5447-UWJYD,Female,0,Yes,No,26,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.0,482.8,1
3999-EKGGA,Male,0,No,No,60,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,71.0,7377.8,1
7663-EGLFD,Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,49.95,1
8565-RTPZH,Female,0,No,No,4,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.1,529.8,1
9912-FHQIJ,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,89.85,777.35,1
0567-PFCVI,Female,1,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,94.85,772.85,0
2929-SZPLQ,Female,0,Yes,No,27,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.75,7181.15,1
0234-NPVAP,Male,0,No,No,48,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),64.15,1857.15,0
6322-KVTDQ,Male,0,Yes,Yes,56,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),39.1,330.6,0
7771-JMWQQ,Female,0,No,No,7,No,No phone service,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,39.1,6020.45,1
