age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
36,?,160724.0,Bachelors,13,Married-civ-spouse,?,Wife,White,Female,0,0,22,Hungary,0
61,?,183255.0,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,1
24,Private,164709.0,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,90,England,0
54,Private,346192.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7298,0,40,United-States,1
26,?,134988.0,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,7,United-States,0
29,?,194791.0,HS-grad,9,Married-civ-spouse,?,Wife,White,Female,0,0,20,United-States,0
56,Private,221059.0,Assoc-voc,11,Divorced,Adm-clerical,Unmarried,White,Female,3040,0,40,Italy,0
34,Private,162942.0,Some-college,10,Divorced,Sales,Unmarried,Black,Female,0,0,40,United-States,0
33,?,146659.0,HS-grad,9,Never-married,?,Unmarried,White,Male,0,0,20,United-States,0
44,Private,180052.0,12th,8,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
17,Private,216620.0,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,40,England,0
53,Private,116608.0,11th,7,Divorced,Sales,Not-in-family,White,Female,2463,0,48,United-States,0
18,Private,216181.0,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,15,United-States,0
32,Private,176186.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,44,United-States,0
68,Private,118015.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
28,Private,198110.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0
58,State-gov,166659.0,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
17,Private,182683.0,11th,7,Never-married,Handlers-cleaners,Other-relative,White,Male,0,0,7,United-States,0
49,Private,199363.0,11th,7,Separated,Other-service,Not-in-family,White,Male,0,0,15,United-States,0
38,Private,103315.0,7th-8th,4,Never-married,Other-service,Other-relative,White,Female,0,0,30,United-States,0
22,Private,319280.0,HS-grad,9,Never-married,Sales,Unmarried,White,Female,3325,0,45,United-States,0
41,Private,102130.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,0
53,Private,156294.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,0
49,Private,171335.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,37,United-States,0
41,Private,460408.0,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,0,1902,50,United-States,1
37,Private,101978.0,Bachelors,13,Divorced,Craft-repair,Unmarried,White,Male,0,0,40,United-States,1
40,Private,54929.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
22,Private,167716.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,0
41,Private,37546.0,5th-6th,3,Divorced,Other-service,Own-child,White,Female,0,0,40,United-States,0
