age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
22,?,163214,9th,5,Never-married,?,Unmarried,White,Female,0,0,40,Mexico,0
52,?,167552,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,1887,20,United-States,1
34,Private,148596,10th,6,Divorced,Other-service,Unmarried,White,Female,0,0,20,United-States,0
17,?,190582,11th,7,Never-married,?,Own-child,White,Female,0,0,20,United-States,0
60,?,190760,Some-college,10,Widowed,?,Unmarried,White,Female,0,0,35,United-States,0
18,Private,193818,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,?,0
17,?,189254,11th,7,Never-married,?,Own-child,White,Female,0,0,40,United-States,0
20,?,80421,Some-college,10,Never-married,?,Unmarried,White,Male,0,0,40,United-States,0
60,Private,156770,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,?,0
38,Private,156807,11th,7,Never-married,Other-service,Unmarried,Black,Female,0,0,20,United-States,0
49,?,329144,Masters,14,Married-civ-spouse,?,Husband,White,Male,0,0,50,United-States,1
46,?,191117,Masters,14,Married-civ-spouse,?,Wife,White,Female,7688,0,6,United-States,1
59,Private,164488,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,?,0
20,?,289934,Assoc-voc,11,Married-civ-spouse,?,Husband,White,Male,3137,0,35,United-States,0
17,Private,91921,10th,6,Never-married,Sales,Own-child,White,Male,0,0,18,United-States,0
40,Private,224952,12th,8,Divorced,Protective-serv,Unmarried,White,Female,0,0,40,United-States,0
58,?,160823,7th-8th,4,Divorced,?,Own-child,Black,Male,0,0,40,United-States,0
64,?,132996,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,24,United-States,0
55,Private,194933,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,Poland,0
30,?,190525,Some-college,10,Never-married,?,Other-relative,White,Male,0,1602,50,United-States,0
40,Private,197344,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
51,Private,121969,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,41,United-States,0
20,Private,326401,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,30,England,0
20,Private,26798,HS-grad,9,Never-married,Sales,Other-relative,White,Female,0,0,25,United-States,0
37,Private,165815,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,1
38,Private,97782,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,42,?,1
37,Private,84272,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
22,?,162825,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
18,Private,194096,11th,7,Never-married,Sales,Own-child,White,Male,0,0,20,United-States,0
47,Private,116632,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
29,Private,194725,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,1
32,Private,155319,Assoc-acdm,12,Separated,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
21,Private,186420,12th,8,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,0
39,Private,145441,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
60,Private,165969,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
31,Private,210311,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
34,Private,159755,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
50,Private,29145,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1887,50,United-States,1
44,Private,340917,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,1
37,Private,104719,12th,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
21,?,224361,HS-grad,9,Never-married,?,Not-in-family,White,Male,0,0,36,United-States,0
38,Private,107882,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,50,United-States,0
45,Private,39232,Prof-school,15,Divorced,Adm-clerical,Unmarried,White,Female,0,0,35,United-States,0
33,?,230767,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,30,United-States,0
27,Private,191385,10th,6,Never-married,Craft-repair,Other-relative,White,Male,0,0,48,United-States,0
51,Private,176711,10th,6,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,1
60,Private,169934,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,38,United-States,0
27,Private,330132,12th,8,Never-married,Craft-repair,Unmarried,Black,Female,0,0,40,United-States,0
33,Private,137514,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,70,United-States,0
36,State-gov,198664,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
30,Private,150324,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
