age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
39,Private,139907,11th,7,Divorced,Transport-moving,Unmarried,White,Male,0,0,45,United-States,0
32,?,91949,Assoc-voc,11,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,1
19,Private,200891,11th,7,Never-married,Other-service,Other-relative,White,Male,0,0,20,United-States,0
65,Private,202091,12th,8,Widowed,Other-service,Other-relative,White,Female,0,0,24,United-States,0
36,Private,198127,11th,7,Divorced,Other-service,Unmarried,Black,Female,0,0,48,United-States,0
76,?,155657,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,9,United-States,0
34,?,195129,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,0
21,Private,120232,Assoc-voc,11,Never-married,Sales,Unmarried,White,Male,0,0,60,United-States,0
17,?,210029,10th,6,Never-married,?,Own-child,White,Male,0,0,50,United-States,0
29,?,368797,11th,7,Never-married,?,Own-child,White,Female,0,0,30,United-States,0
34,Federal-gov,291515,Masters,14,Never-married,Sales,Unmarried,White,Male,0,0,40,United-States,0
36,?,115395,Some-college,10,Married-civ-spouse,?,Husband,Black,Male,0,0,40,United-States,0
48,Private,117956,HS-grad,9,Widowed,Sales,Unmarried,White,Female,0,0,38,United-States,0
33,Private,32096,Bachelors,13,Never-married,Other-service,Unmarried,White,Male,0,0,40,United-States,0
45,Private,170070,Assoc-voc,11,Divorced,Adm-clerical,Other-relative,White,Female,0,0,36,United-States,0
27,Private,52635,HS-grad,9,Never-married,Protective-serv,Unmarried,White,Female,0,0,40,United-States,0
51,?,105748,Some-college,10,Married-civ-spouse,?,Wife,White,Female,7688,0,20,United-States,1
46,Private,310841,Bachelors,13,Divorced,Sales,Own-child,White,Female,0,0,40,United-States,0
34,?,140043,Some-college,10,Separated,?,Own-child,Black,Female,0,0,40,United-States,0
23,Private,137547,Prof-school,15,Never-married,Sales,Own-child,White,Female,0,0,30,Cuba,0
34,Private,174102,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,1
51,State-gov,138626,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,0,0,32,United-States,0
28,Federal-gov,154210,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,32,?,1
53,Local-gov,150556,7th-8th,4,Separated,Other-service,Unmarried,White,Female,0,0,80,United-States,0
38,Private,113324,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,5013,0,50,United-States,0
25,Private,96060,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,0
50,Private,166634,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,1887,70,United-States,1
40,Private,100301,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,Canada,0
32,Federal-gov,216129,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,7298,0,40,?,1
58,Private,107125,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Male,0,0,36,United-States,0
24,Private,219877,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
54,Private,190759,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
34,Private,117963,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1
19,Private,147655,Some-college,10,Never-married,Other-service,Other-relative,White,Female,0,0,25,United-States,0
34,Private,33730,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,3325,0,55,United-States,0
31,Private,125464,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Male,8614,0,40,United-States,1
31,Private,225193,Bachelors,13,Separated,Tech-support,Unmarried,White,Female,0,0,9,United-States,0
24,Private,29712,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,0,0,38,United-States,0
37,Private,240838,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
