ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
3001.0,50000.0,1,2,2,26,0,0,0,0,0,0,277.0,277.0,685.0,132.0,148.0,8.0,1500.0,1509.0,1500.0,1397.0,483.0,3000.0,0
7238.0,50000.0,1,2,2,35,0,0,0,0,0,0,816.0,0.0,1764.0,1336.0,1883.0,1433.0,1500.0,1500.0,500.0,500.0,500.0,500.0,0
1535.0,50000.0,1,3,1,39,0,0,0,0,-1,0,30189.0,26185.0,3353.0,4524.0,3319.0,15825.0,1712.0,1657.0,1090.0,3506.0,2555.0,2909.0,0
18035.0,50000.0,1,3,1,36,0,0,0,0,0,0,59262.0,54584.0,56959.0,51998.0,66543.0,63661.0,1527.0,2952.0,1355.0,1717.0,804.0,1902.0,0
147.0,80000.0,2,3,1,55,0,0,0,0,2,2,28636.0,19930.0,18669.0,16820.0,17042.0,7327.0,1804.0,1851.0,2000.0,6600.0,0.0,2200.0,0
6483.0,50000.0,2,2,1,46,2,2,4,3,2,2,17318.0,19166.0,15605.0,17321.0,24277.0,18914.0,1500.0,2130.0,0.0,1100.0,0.0,1200.0,1
15530.0,180000.0,2,2,1,27,0,0,0,0,0,0,76779.0,81517.0,79347.0,73356.0,137843.0,48557.0,9699.0,5530.0,8152.0,5440.0,3243.0,22114.0,0
23960.0,50000.0,1,1,2,24,0,0,0,0,0,0,1930.0,1703.0,3250.0,0.0,0.0,0.0,9683.0,1750.0,2257.0,1200.0,6000.0,4507.0,0
27319.0,200000.0,2,2,2,56,0,0,0,0,0,0,70.0,1738.0,1870.0,0.0,0.0,0.0,6500.0,5000.0,1197.0,6000.0,6000.0,6000.0,0
15056.0,50000.0,2,2,1,47,0,0,2,2,0,0,9039.0,1315.0,0.0,7325.0,0.0,0.0,2200.0,2129.0,0.0,584.0,2000.0,1400.0,1
8381.0,100000.0,1,1,2,29,0,0,0,0,0,0,5990.0,8914.0,8763.0,9866.0,22223.0,18617.0,1564.0,1386.0,3009.0,1800.0,2000.0,2000.0,0
6492.0,200000.0,1,3,1,34,0,0,0,0,0,0,7880.0,3723.0,6200.0,0.0,4584.0,0.0,6000.0,6203.0,5000.0,6000.0,6000.0,5000.0,0
