ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
28750,80000.0,2,3,1,24,-1,2,2,-1,0,0,898.0,0.0,782.0,0.0,8835.0,7322.0,7006.0,6.0,575.0,435.0,76.0,3384.0,0
19900,80000.0,2,1,2,41,0,0,0,0,0,0,509.0,881.0,393.0,573.0,942.0,597.0,1980.0,1300.0,649.0,607.0,192.0,4.0,0
16267,20000.0,1,2,2,25,0,0,0,0,0,0,488.0,0.0,174.0,652.0,0.0,632.0,1367.0,1639.0,1592.0,747.0,699.0,0.0,0
24166,30000.0,2,2,1,34,2,0,0,0,0,0,78315.0,74147.0,77701.0,78176.0,81477.0,80193.0,1500.0,1800.0,1500.0,1500.0,1500.0,1300.0,1
116,20000.0,1,2,2,24,3,2,2,2,0,0,116137.0,141553.0,111062.0,119050.0,117248.0,85704.0,0.0,0.0,0.0,0.0,0.0,2200.0,1
2189,50000.0,2,2,2,22,2,2,2,2,0,0,53151.0,47478.0,50473.0,48398.0,49391.0,49568.0,1800.0,3500.0,0.0,817.0,1143.0,1056.0,1
22773,60000.0,2,2,2,28,0,0,0,-2,-2,-2,68774.0,65438.0,67767.0,70727.0,71244.0,75650.0,380.0,0.0,0.0,0.0,0.0,1600.0,1
222,150000.0,1,5,1,47,0,0,0,0,0,-2,48914.0,41006.0,41194.0,41232.0,44411.0,43519.0,1400.0,1724.0,3147.0,0.0,0.0,0.0,0
8114,170000.0,2,2,2,34,0,0,0,0,0,0,980.0,580.0,1630.0,1480.0,4750.0,950.0,7500.0,6427.0,5900.0,5000.0,4600.0,5200.0,0
9325,130000.0,1,1,2,25,-1,-1,-1,-1,-1,-1,7800.0,0.0,0.0,0.0,31350.0,20302.0,316.0,316.0,316.0,316.0,316.0,316.0,1
1167,50000.0,1,3,1,44,0,0,0,2,0,0,16096.0,51068.0,29425.0,22692.0,17464.0,18467.0,4000.0,3000.0,0.0,800.0,788.0,1200.0,0
15012,100000.0,1,1,2,34,0,0,0,0,0,0,26951.0,26508.0,27566.0,18856.0,15768.0,23636.0,5805.0,5000.0,6789.0,5105.0,2810.0,4000.0,1
17220,70000.0,2,2,1,29,2,2,2,0,0,0,21119.0,20712.0,10833.0,9401.0,8261.0,5899.0,5500.0,0.0,1500.0,1500.0,2000.0,2200.0,1
12512,80000.0,2,1,1,45,1,2,0,0,2,0,116319.0,123739.0,109388.0,139795.0,149636.0,122196.0,0.0,4000.0,3469.0,0.0,3000.0,4132.0,0
18335,170000.0,2,1,1,30,-1,-1,-1,-1,-1,-1,472.0,112906.0,12156.0,8876.0,31053.0,20312.0,326.0,326.0,326.0,326.0,326.0,326.0,1
9576,20000.0,1,2,2,22,0,0,0,0,0,-2,87538.0,83235.0,82692.0,78588.0,76076.0,77164.0,1129.0,1317.0,399.0,0.0,290.0,0.0,1
17049,50000.0,2,2,2,22,0,0,0,0,0,0,48216.0,48161.0,46024.0,4367.0,12507.0,17363.0,1296.0,1708.0,680.0,1630.0,485.0,1700.0,0
3938,60000.0,1,2,2,33,1,-1,0,0,0,0,16415.0,18846.0,19859.0,13538.0,11502.0,19421.0,4700.0,5000.0,1915.0,0.0,15000.0,0.0,0
3855,130000.0,1,2,1,43,0,0,0,3,2,0,5877.0,0.0,0.0,0.0,0.0,0.0,5000.0,9000.0,0.0,0.0,3047.0,3000.0,0
12688,450000.0,1,1,2,28,0,0,0,0,-1,-1,577.0,8345.0,1529.0,5816.0,211.0,0.0,3084.0,1778.0,749.0,343.0,0.0,0.0,0
4687,170000.0,1,1,1,42,0,0,0,0,0,0,899.0,0.0,0.0,0.0,0.0,600.0,5300.0,8000.0,6100.0,4100.0,3400.0,2200.0,0
16005,360000.0,2,1,2,29,0,0,0,0,0,0,4988.0,3848.0,7378.0,3142.0,1545.0,-61.0,1278.0,1486.0,1010.0,200.0,11.0,237.0,0
6201,180000.0,1,1,1,46,-1,-1,-1,-1,-1,-1,1211.0,6934.0,1027.0,1104.0,0.0,0.0,316.0,316.0,316.0,316.0,316.0,316.0,0
11592,180000.0,2,1,2,40,-2,-2,-2,-2,-2,-2,6834.0,7192.0,8749.0,8665.0,9934.0,12663.0,0.0,0.0,582.0,606.0,1128.0,291.0,0
7875,30000.0,2,3,2,53,0,0,0,0,2,2,177958.0,191560.0,193890.0,175294.0,186098.0,195279.0,2500.0,2300.0,700.0,500.0,0.0,2200.0,1
4135,80000.0,2,2,2,25,-1,2,-1,0,-1,-1,30483.0,29732.0,29533.0,30616.0,29316.0,29309.0,0.0,525.0,5419.0,2880.0,3410.0,1505.0,0
22639,150000.0,2,2,2,36,0,0,0,0,-1,-1,49640.0,47020.0,44798.0,52889.0,55525.0,51052.0,6000.0,2829.0,0.0,3322.0,0.0,17000.0,0
6958,160000.0,2,1,1,42,2,2,2,2,2,0,12600.0,9175.0,10267.0,110026.0,105290.0,205003.0,9520.0,0.0,15000.0,0.0,12900.0,7000.0,1
